,City,Cloudiness (%),Country code,Date,Humidity (%),Latitude,Longitude,Maximum Temperature (F),Wind Speed (miles/hr)
293,Guerrero Negro,12,MX,1531723098,96,27.97,-114.04,67.37,7.54
294,Zhezkazgan,40,KZ,1531720800,37,47.8,67.71,84.2,11.18
295,Afyonkarahisar,20,TR,1531720200,52,38.76,30.53,66.2,11.41
296,Puerto Narino,75,CO,1531720800,94,-3.77,-70.38,73.4,2.39
297,Puerto Escondido,0,MX,1531722866,99,15.86,-97.07,86.54,10.78
298,La Ronge,20,CA,1531720800,100,55.1,-105.3,44.6,2.24
299,Katsuura,20,JP,1531720800,63,33.93,134.5,91.4,2.24
300,Orlik,36,RU,1531723105,62,52.51,99.83,62.42,2.39
301,Vila Velha,75,BR,1531720800,83,-3.71,-38.6,78.8,12.75
302,Emerald,0,AU,1531723107,29,-23.53,148.16,74.48,4.63
303,Namatanai,44,PG,1531723108,100,-3.66,152.44,80.87,6.76
304,Hamilton,40,BM,1531720500,73,32.3,-64.78,75.2,5.82
305,Nenjiang,68,CN,1531723109,73,49.17,125.23,80.87,4.18
306,Ambon,0,FR,1531722600,72,47.55,-2.56,66.2,3.36
307,Shakawe,0,BW,1531723111,64,-18.36,21.84,55.04,14.58
308,Dawson Creek,40,CA,1531720800,37,55.76,-120.23,69.8,10.29
309,Mandera,64,ET,1531723113,50,3.94,41.86,79.97,17.6
310,Sukumo,0,JP,1531723114,80,32.94,132.72,83.93,4.18
311,Kamuli,8,UG,1531723115,83,0.94,33.12,71.15,5.64
312,Dancalan,92,PH,1531723116,100,12.91,123.59,77.54,12.46
313,Anchorage,1,US,1531720560,76,61.22,-149.89,62.6,6.93
314,Talnakh,0,RU,1531723117,53,69.49,88.39,67.82,5.75
315,Mogadishu,40,SO,1531720800,74,2.04,45.34,80.6,17.22
316,Acari,0,BR,1531723119,82,-6.44,-36.64,65.3,11.23
317,Norman Wells,75,CA,1531721280,63,65.28,-126.83,62.6,8.05
318,Veraval,0,FR,1531722600,64,49.65,0.71,68.0,4.7
319,Mujiayingzi,36,CN,1531723121,70,42.12,118.78,83.84,13.24
320,Kimbe,68,PG,1531723122,100,-5.56,150.15,79.25,2.62
321,Mersing,44,MY,1531723123,77,2.43,103.84,88.34,7.76
322,Basco,40,US,1531721700,100,40.33,-91.2,75.2,2.73
323,Nikolskoye,0,RU,1531720800,41,59.7,30.79,78.8,4.47
324,La Rioja,48,AR,1531723126,90,-29.41,-66.86,49.55,1.95
325,Grand Gaube,75,MU,1531720800,73,-20.01,57.66,75.2,5.82
326,San Cristobal,20,EC,1531720800,93,-0.39,-78.55,39.2,2.24
327,Moron,80,VE,1531723129,98,10.49,-68.2,67.28,1.95
328,Manicore,0,BR,1531723129,91,-5.81,-61.3,73.49,2.06
329,Salalah,90,OM,1531720200,88,17.01,54.1,78.8,6.93
330,Broome,0,GB,1531722000,82,52.47,1.45,64.4,2.24
331,Kamaishi,75,JP,1531720800,74,39.28,141.86,80.6,8.05
332,Ossora,0,RU,1531723133,90,59.24,163.07,56.39,4.63
333,Provideniya,90,RU,1531719000,81,64.42,-173.23,51.8,6.71
334,Miles City,1,US,1531720380,63,46.41,-105.84,64.4,6.93
335,San Luis Rio Colorado,1,MX,1531720620,31,32.47,-114.76,91.4,5.82
336,Acapulco,20,MX,1531720260,83,16.86,-99.88,80.6,2.24
337,Rosarito,40,CO,1531720800,94,4.91,-75.23,68.0,4.7
338,Presidencia Roque Saenz Pena,92,AR,1531723139,91,-26.79,-60.44,70.97,6.98
339,Gayeri,76,BF,1531723139,97,12.65,0.49,71.69,10.56
340,Karpogory,92,RU,1531723140,99,64.0,44.44,61.97,3.06
341,Kondinskoye,0,RU,1531723141,50,59.65,67.41,77.9,3.51
342,Murgab,0,TM,1531720800,25,37.5,61.97,98.6,6.93
343,Toora-Khem,76,RU,1531723143,91,52.47,96.11,61.52,2.17
344,Haines Junction,24,CA,1531723146,66,60.75,-137.51,45.68,2.73
345,Klaksvik,40,FO,1531722000,100,62.23,-6.59,51.8,11.41
346,Vardo,1,US,1531722720,94,39.62,-77.74,73.4,2.06
347,Sarkand,56,KZ,1531723149,65,45.41,79.91,76.82,4.41
348,Aswan,0,EG,1531717200,23,24.09,32.9,87.8,2.24
349,Husavik,76,CA,1531723151,60,50.56,-96.99,66.83,18.84
350,Dispur,75,IN,1531720800,79,26.14,91.79,89.6,10.29
351,Ban Nahin,92,LA,1531723153,99,18.24,104.21,74.21,2.95
352,Terrace,75,CA,1531720800,45,54.52,-128.61,66.2,2.24
353,Gazli,0,UZ,1531723155,18,40.13,63.45,99.32,10.45
354,Mangan,80,IN,1531723156,86,27.5,88.54,53.51,1.72
355,Hervey Bay,0,AU,1531723157,93,-25.3,152.85,65.84,2.95
356,Rawson,0,AR,1531723159,82,-43.3,-65.11,23.09,2.73
357,Calvinia,92,ZA,1531723160,62,-31.47,19.78,34.25,2.39
358,Hericourt,12,FR,1531720800,82,47.57,6.76,64.4,3.36
359,Yerbogachen,68,RU,1531723162,71,61.28,108.01,63.59,3.62
360,Saldanha,24,PT,1531723164,88,41.42,-6.55,58.82,4.63
361,Tres Picos,8,MX,1531723164,71,16.23,-93.58,70.52,2.62
362,Vostok,36,RU,1531723165,86,46.45,135.83,73.67,2.73
363,Saint Anthony,1,US,1531720560,52,43.97,-111.68,69.8,8.05
364,Porto Velho,0,BR,1531720800,83,-8.75,-63.87,75.2,2.51
365,Las Vegas,1,US,1531721700,32,36.17,-115.15,96.8,3.36
366,Coahuayana,24,MX,1531723169,86,18.62,-100.35,64.94,2.06
367,Challapata,8,BO,1531723170,79,-18.9,-66.78,23.45,2.62
368,Sydney,0,AU,1531720800,21,-33.85,151.22,62.6,11.41
369,Krasnohrad,24,UA,1531723171,88,49.38,35.45,74.3,3.96
370,Shreveport,1,US,1531721700,58,32.52,-93.77,87.8,6.93
371,Kundgol,92,IN,1531723173,99,15.25,75.25,71.87,11.68
372,Nuevitas,36,CU,1531720200,100,21.55,-77.27,75.2,5.82
373,Tanabe,75,JP,1531720800,83,33.73,135.39,84.2,8.05
374,Luanda,75,AO,1531717200,83,-8.83,13.24,71.6,4.7
375,Tuatapere,64,NZ,1531723177,98,-46.13,167.69,50.09,8.1
376,Prainha,92,BR,1531723178,100,-1.8,-53.48,70.88,4.07
377,Carlsbad,0,CZ,1531720800,59,50.23,12.87,64.4,6.93
378,Chapais,1,CA,1531720800,72,49.78,-74.86,66.2,8.05
379,Olinda,75,EC,1531720800,83,-2.03,-79.75,69.8,11.41
380,Tahoua,0,NE,1531720800,88,14.89,5.26,75.2,6.93
381,Coquimbo,0,CL,1531720800,93,-29.95,-71.34,50.0,2.24
382,Hashimoto,75,JP,1531720800,50,34.32,135.62,96.8,10.29
383,Gat,40,SN,1531720800,78,14.69,-16.54,80.6,6.93
384,Sabha,0,LY,1531723185,28,27.03,14.43,78.35,5.64
385,Nanning,40,CN,1531720800,58,22.83,108.3,87.8,15.66
386,Sagar,24,IN,1531723187,98,23.84,78.75,86.0,5.97
387,Mawlaik,80,MM,1531723188,92,23.63,94.42,78.98,2.17
388,Kyshtovka,0,RU,1531723189,45,56.56,76.62,77.36,13.69
389,Namibe,0,AO,1531723190,100,-15.19,12.15,64.94,9.44
390,Ostrovnoy,76,RU,1531723191,69,68.05,39.51,71.15,14.14
391,Tongchuan,40,CN,1531720800,66,34.9,108.95,89.6,4.47
392,Constitucion,20,MX,1531723193,91,23.99,-104.67,57.02,3.4
393,Novo Aripuana,0,BR,1531723195,91,-5.12,-60.38,73.49,2.62
394,Kirkuk,0,IQ,1531723066,21,35.47,44.4,96.98,4.97
395,Bushehr,0,IR,1531720800,29,28.97,50.84,98.6,6.93
396,Lorengau,76,PG,1531723197,100,-2.02,147.27,83.12,3.4
397,Pemba,20,MZ,1531717200,82,-12.97,40.52,68.0,12.75
398,Cap Malheureux,75,MU,1531720800,73,-19.98,57.61,75.2,5.82
399,Shizunai,80,JP,1531723200,92,42.33,142.37,70.52,4.18
400,Karonga,56,MW,1531723201,100,-9.94,33.93,65.93,14.81
401,Baghdad,0,IQ,1531720800,32,33.3,44.38,96.8,12.75
402,Chernushka,36,RU,1531723203,75,56.5,56.08,73.49,7.2
403,Gigmoto,100,PH,1531723204,100,13.78,124.39,81.59,15.48
404,Faanui,92,PF,1531723205,100,-16.48,-151.75,76.64,18.5
405,Lompoc,90,US,1531720680,93,34.64,-120.46,59.0,6.93
406,Saint-Francois,0,FR,1531722600,72,46.42,3.91,64.4,3.36
407,Bandarbeyla,0,SO,1531723207,78,9.49,50.81,80.15,28.68
408,Hirara,75,JP,1531720800,74,24.8,125.28,89.6,19.46
409,Cabo San Lucas,0,MX,1531723060,99,22.89,-109.91,80.87,14.81
410,Sibolga,36,ID,1531723210,72,1.74,98.78,82.13,2.95
411,Inhambane,75,MZ,1531717200,87,-23.87,35.38,60.8,13.87
412,Sterling,1,US,1531722720,100,39.0,-77.4,75.2,5.08
413,Enid,1,US,1531721700,78,36.4,-97.88,78.8,3.36
414,Tautira,75,PF,1531720800,88,-17.73,-149.15,73.4,10.29
415,Paragominas,36,BR,1531723215,94,-3.0,-47.35,72.5,2.73
416,Dunedin,88,NZ,1531722968,98,-45.87,170.5,44.51,2.73
417,Morondava,0,MG,1531723217,76,-20.3,44.28,71.33,6.76
418,Svetlogorsk,75,RU,1531720800,68,53.14,59.15,71.6,8.95
419,Aykhal,80,RU,1531723218,91,65.95,111.51,51.8,4.97
420,Carnduff,0,CA,1531723219,47,49.17,-101.8,60.35,9.22
421,Saint-Augustin,0,FR,1531722600,93,44.83,-0.61,68.0,4.7
422,Inverell,0,AU,1531723221,58,-29.78,151.11,47.93,6.98
423,Dzerzhinsk,0,RU,1531720800,69,56.24,43.46,78.8,6.71
424,Taikang,92,CN,1531723223,80,46.86,124.44,79.16,10.45
425,Kosa,12,RU,1531723224,65,59.94,54.99,77.54,7.54
426,Gamba,76,CN,1531723224,100,28.28,88.52,39.2,0.38
427,Altoona,1,US,1531722420,88,40.52,-78.39,69.8,3.4
428,Muros,40,ES,1531722600,100,42.77,-9.06,57.2,1.12
429,Goma,12,CD,1531723227,68,-1.67,29.23,64.49,5.75
430,Lenger,0,KZ,1531720800,19,42.18,69.89,95.0,11.18
431,Tiznit,0,MA,1531723229,96,29.7,-9.73,62.78,3.06
432,Aljustrel,75,PT,1531720800,88,37.88,-8.16,62.6,3.62
433,Chiang Rai,92,TH,1531723231,88,19.9,99.84,77.45,3.18
434,Fare,92,PF,1531723232,100,-16.7,-151.02,75.92,18.61
435,Port Hardy,20,CA,1531720800,76,50.7,-127.42,57.2,3.36
436,San Jose,92,PH,1531722995,97,15.79,120.99,77.0,1.95
437,Praia da Vitoria,40,PT,1531720800,68,38.73,-27.07,68.0,11.79
438,Sadiqabad,64,PK,1531723237,51,28.31,70.13,99.77,2.39
439,Fort Nelson,75,CA,1531720800,93,58.81,-122.69,59.0,3.36
440,Pontianak,75,ID,1531720800,59,-0.02,109.34,89.6,6.93
441,Itacare,20,BR,1531720800,94,-14.28,-39.0,69.8,3.36
442,Erzurum,40,TR,1531720200,72,39.91,41.27,60.8,3.36
443,Bay Roberts,90,CA,1531720800,100,47.58,-53.28,64.4,13.87
444,Karanja,92,IN,1531723243,92,20.48,77.49,78.08,12.8
445,Boden,0,SE,1531722000,56,65.83,21.69,68.0,8.05
446,Arboletes,36,CO,1531723245,100,8.85,-76.43,81.23,8.1
447,Belmonte Mezzagno,20,IT,1531722000,83,38.05,13.39,78.8,5.82
448,Beni,64,CD,1531723246,97,0.49,29.47,66.29,3.4
449,Alekseyevka,0,RU,1531720800,61,53.25,50.49,80.6,8.95
450,Kavieng,92,PG,1531723248,100,-2.57,150.8,82.49,6.08
451,Eenhana,0,NA,1531723249,41,-17.48,16.34,57.02,14.14
452,Ayni,8,TJ,1531723251,30,39.39,68.54,80.96,1.95
453,Lopatyn,48,UA,1531723252,100,50.22,24.84,64.04,7.76
454,Innisfail,75,CA,1531720800,71,52.02,-113.95,57.2,8.1
455,Selty,24,RU,1531723254,75,57.31,52.14,77.09,5.19
456,Genhe,100,CN,1531723255,97,50.78,121.52,63.41,7.09
457,Dhidhdhoo,92,MV,1531723256,100,6.88,73.1,80.6,23.87
458,Lata,88,IN,1531723257,100,30.78,78.62,64.04,1.5
459,Saint-Nazaire,0,FR,1531722600,72,47.27,-2.21,68.0,3.36
460,Okakarara,0,NA,1531723259,53,-20.59,17.46,49.28,12.57
461,Padang,80,ID,1531723260,100,-0.92,100.36,82.04,8.43
462,Panjab,0,AF,1531723261,62,34.38,67.02,64.67,2.51
463,Kastamonu,40,TR,1531720200,72,41.38,33.78,64.4,6.93
464,Lala,92,PH,1531723263,100,7.97,123.75,74.39,5.08
465,Mbandaka,32,CD,1531723264,98,0.05,18.26,73.22,3.06
466,Santiago,90,CL,1531720800,81,-33.44,-70.65,51.8,3.36
467,Dicabisagan,56,PH,1531723204,100,17.08,122.42,79.61,2.73
468,Hobyo,8,SO,1531723267,68,5.35,48.53,79.07,23.09
469,Urubicha,0,BO,1531723268,78,-15.63,-63.08,74.12,3.62
470,Pasighat,56,IN,1531723269,92,28.06,95.33,77.45,1.5
471,Sao Felix do Xingu,8,BR,1531723269,90,-6.64,-51.99,71.69,2.06
472,Kohlu,0,PK,1531723270,51,29.9,69.25,92.12,5.41
473,Elliot,0,ZA,1531723271,63,-31.33,27.85,21.2,2.51
474,Victoria,75,BN,1531722600,70,5.28,115.24,93.2,5.82
475,Caucaia,75,BR,1531720800,83,-3.73,-38.66,78.8,12.75
476,Illapel,56,CL,1531723274,100,-31.63,-71.17,47.75,3.51
477,The Valley,20,AI,1531720800,78,18.22,-63.06,80.6,14.99
478,Celestun,0,MX,1531723276,96,20.87,-90.4,83.39,18.5
479,Tecoanapa,20,MX,1531720260,83,16.99,-99.26,80.6,2.24
480,Kars,75,TR,1531720800,72,40.61,43.1,64.4,4.7
481,Posadas,0,PY,1531720800,69,-27.37,-55.89,73.4,3.36
482,Duluth,1,US,1531722900,93,46.77,-92.13,66.2,6.93
483,Tucurui,76,BR,1531723281,100,-3.77,-49.67,70.52,2.39
484,Harlingen,75,US,1531722600,88,26.19,-97.7,84.2,12.75
485,Muzhi,8,RU,1531723282,58,65.4,64.7,78.26,9.1
486,Ushtobe,92,KZ,1531723283,70,45.25,77.98,76.55,5.97
487,Zharkent,88,KZ,1531723284,86,44.17,80.0,56.93,3.4
488,Antofagasta,90,CL,1531720800,76,-23.65,-70.4,57.2,2.24
489,Kupang,20,ID,1531720800,33,-10.16,123.6,89.6,8.05
490,Brooks,0,CA,1531723063,39,50.57,-111.89,63.5,6.98
491,Flinders,0,AU,1531720800,33,-34.58,150.85,57.2,12.75
492,Hue,75,VN,1531722600,66,16.47,107.58,89.6,4.7
493,Victor Harbor,20,AU,1531720800,55,-35.55,138.62,60.8,16.11
494,Bose,40,IT,1531722000,77,45.46,8.01,71.6,10.29
495,Serebryansk,75,KZ,1531720800,61,49.68,83.3,80.6,6.71
496,Telma,75,RU,1531720800,69,52.7,103.72,73.4,4.47
497,Tawau,75,MY,1531720800,74,4.26,117.89,86.0,9.17
498,Voiron,0,FR,1531722600,77,45.37,5.59,68.0,10.29
499,Pokhara,12,NP,1531723297,67,28.21,83.99,78.62,2.62
500,Taoudenni,0,ML,1531723298,17,22.68,-3.98,76.37,6.98
501,Leiyang,32,CN,1531723299,88,26.42,112.85,91.04,4.07
502,Nokha,44,IN,1531723301,71,27.56,73.47,91.85,6.08
503,Willowmore,0,ZA,1531723303,75,-33.3,23.49,21.74,2.06
504,Lugo,88,ES,1531723304,98,43.01,-7.56,57.65,2.95
505,Molteno,0,ZA,1531723305,58,-31.4,26.36,22.19,2.62
506,Mezen,0,RU,1531723306,62,65.85,44.24,72.59,3.18
507,Plouzane,76,FR,1531722600,93,48.38,-4.62,64.4,4.7
508,Half Moon Bay,90,US,1531720800,87,37.46,-122.43,66.2,4.41
509,Bilibino,80,RU,1531723308,65,68.06,166.44,57.47,2.62
510,Riyadh,0,SA,1531720800,10,24.63,46.72,98.6,6.93
511,General Roca,0,AR,1531720800,80,-39.03,-67.58,41.0,3.36
512,Las Vigas,56,MX,1531723311,100,19.72,-98.26,47.12,2.39
513,Maragogi,88,BR,1531723312,85,-9.01,-35.22,72.77,7.2
514,Terney,92,RU,1531723314,100,45.05,136.61,58.1,3.96
515,Atar,0,MR,1531723090,19,20.52,-13.05,88.7,14.7
516,Leshukonskoye,76,RU,1531723315,90,64.9,45.76,68.9,2.73
517,San Ramon de la Nueva Oran,0,AR,1531723316,74,-23.13,-64.33,59.9,4.41
518,Plettenberg Bay,0,ZA,1531723317,100,-34.05,23.37,54.59,11.79
519,Bachaquero,20,VE,1531723318,90,9.96,-71.12,82.49,6.08
520,Alghero,0,IT,1531722000,78,40.56,8.32,77.0,5.82
521,Metro,68,ID,1531723320,70,-5.11,105.31,84.92,6.53
522,Meulaboh,44,ID,1531723321,96,4.14,96.13,84.65,4.97
523,Henties Bay,0,NA,1531723322,100,-22.12,14.28,53.69,3.51
524,Mo i Rana,20,NO,1531722000,77,66.32,14.15,64.4,1.12
525,Khandyga,92,RU,1531723324,97,62.65,135.58,62.87,6.08
526,Rocha,64,UY,1531723325,93,-34.48,-54.34,42.98,7.76
527,Lock Haven,1,US,1531721700,94,41.14,-77.45,73.4,3.36
528,Alangayam,44,IN,1531723327,48,12.62,78.75,87.8,21.18
529,Karaton,20,ID,1531722600,55,-6.34,106.1,87.8,8.05
530,Tomatlan,44,MX,1531723329,93,19.93,-105.25,74.75,1.16
531,Chokurdakh,0,RU,1531723330,73,70.62,147.9,52.43,10.78
532,Umm Kaddadah,68,SD,1531723332,69,13.6,26.69,77.45,14.7
533,Kaka,0,TM,1531723332,24,37.35,59.62,92.84,6.2
534,Ilulissat,92,GL,1531720200,70,69.22,-51.1,48.2,2.73
535,Boa Vista,75,BR,1531720800,88,2.82,-60.67,78.8,3.36
536,Springfield,1,US,1531720320,83,37.22,-93.29,75.2,4.7
537,Cabedelo,75,BR,1531720800,88,-6.97,-34.84,71.6,9.17
538,Krasnozerskoye,0,RU,1531723338,54,53.98,79.24,76.28,18.05
539,Tilichiki,0,RU,1531723339,77,60.47,166.1,62.6,7.65
540,Catalina Foothills,1,US,1531720680,78,32.3,-110.92,80.6,5.82
541,Livingston,75,US,1531721880,94,32.58,-88.19,75.2,5.82
542,Catarman,92,PH,1531723342,100,12.5,124.64,80.51,22.3
543,Tulun,56,RU,1531723343,60,54.56,100.58,75.56,5.19
544,Bonfim,0,BR,1531723344,83,-20.33,-44.24,49.37,2.95
545,Amazar,88,RU,1531723345,70,53.86,120.88,70.88,3.06
546,Sulangan,68,PH,1531723345,100,11.14,123.72,83.57,24.2
547,Goure,24,NE,1531723346,73,13.98,10.27,77.45,9.55
548,Waddan,0,LY,1531723347,41,29.16,16.14,73.22,4.07
549,Mount Gambier,92,AU,1531723348,89,-37.83,140.78,53.96,9.66
550,Pundaguitan,68,PH,1531723349,96,6.37,126.17,85.55,10.0
551,Gotsu,20,JP,1531720800,89,35.01,132.22,84.2,6.93
552,Karratha,0,AU,1531723332,17,-20.74,116.85,81.95,6.2
553,San Juan,40,PR,1531720560,94,18.47,-66.12,80.6,9.17
554,Ponnani,90,IN,1531720800,83,10.77,75.93,78.8,10.29
555,Tignere,68,CM,1531723355,97,7.37,12.65,64.94,3.74
556,Mbigou,80,GA,1531723359,97,-1.9,11.91,66.65,2.73
557,Los Llanos de Aridane,75,ES,1531722600,77,28.66,-17.92,69.8,19.46
558,Huarmey,0,PE,1531723361,84,-10.07,-78.15,51.26,1.39
559,Porto Novo,40,BR,1531720800,82,-23.68,-45.44,55.4,1.95
560,Ustye,0,RU,1531723363,86,58.76,27.79,70.61,5.97
561,Xining,0,CN,1531723364,61,36.62,101.77,73.13,2.51
562,Sorong,64,ID,1531723365,100,-0.86,131.25,82.31,14.03
563,Oksfjord,75,NO,1531722000,93,70.24,22.35,57.2,10.29
564,Straumen,0,NO,1531722000,68,63.87,11.3,69.8,2.24
565,Nanortalik,36,GL,1531723367,91,60.14,-45.24,38.66,11.79
566,Shingu,75,JP,1531720800,83,33.72,135.99,84.2,8.05
567,Thinadhoo,64,MV,1531723369,100,0.53,72.93,78.62,1.95
568,Kosh-Agach,44,RU,1531723370,75,49.99,88.66,60.35,3.74
569,Mandalgovi,32,MN,1531723371,49,45.76,106.27,81.32,14.7
570,Leninskoye,0,RU,1531720800,38,54.82,82.85,77.0,15.66
571,San Ramon,76,NI,1531723373,82,12.92,-85.84,71.87,4.74
572,Mulchen,20,CL,1531723373,78,-37.72,-72.23,25.97,3.18
573,Rio Gallegos,0,AR,1531720800,92,-51.62,-69.22,23.0,2.24
574,Vanimo,56,PG,1531723375,100,-2.67,141.3,83.48,10.78
575,Pitimbu,75,BR,1531720800,88,-7.47,-34.81,71.6,9.17
576,Prince Rupert,75,CA,1531720800,82,54.32,-130.32,55.4,5.82
577,Rokytne,64,UA,1531723378,94,51.27,27.23,67.55,7.2
578,Port Blair,80,IN,1531723379,99,11.67,92.75,82.4,24.32
579,Beloha,80,MG,1531723379,64,-25.17,45.06,66.83,19.28
580,Mokhotlong,0,LS,1531723380,72,-29.29,29.06,13.28,1.05
581,Banyo,76,CM,1531723381,97,6.75,11.81,64.94,3.4
582,Inuvik,40,CA,1531720800,59,68.36,-133.71,64.4,6.93
583,Shitanjing,0,CN,1531723383,27,39.23,106.34,87.8,4.52
584,Calbuco,90,CL,1531720800,93,-41.77,-73.13,42.8,1.12
585,Pisz,88,PL,1531723385,90,53.63,21.81,68.0,11.45
586,Baruun-Urt,0,MN,1531723385,83,46.68,113.28,78.26,9.22
