,Screen Name,Real Name,Text,Date,Negative sentiment scores,Positive sentiment scores,Neutral sentiment scores,Compound sentiment scores,Tweets ago
0,,,,,,,,,
1,BBC,BBC,"😂 @RomeshRanga really REALLY can't stand Gogglebox. #LiveAtTheApollo

https://t.co/IMrhnETAg7",Sat Jul 21 18:02:06 +0000 2018,0.114,0.228,0.659,0.4404,1.0
2,BBC,BBC,"How being drawn naked helped these women reclaim their bodies. 
(via @BBCThree) https://t.co/h22GymBo6O",Sat Jul 21 17:05:05 +0000 2018,0.0,0.0,1.0,0.0,2.0
3,BBC,BBC,Was the 😊the first emoticon? https://t.co/3eZwRPDqbJ,Sat Jul 21 16:04:04 +0000 2018,0.0,0.0,1.0,0.0,3.0
4,BBC,BBC,RT @BBCR1: From @ShawnMendes and @NiallOfficial to @DUALIPA and @ArianaGrande; 10 massive pop collabs we NEED to hear right now 👉 https://t…,Sat Jul 21 15:04:19 +0000 2018,0.0,0.0,1.0,0.0,4.0
5,BBC,BBC,👰🎊🤵 @reallorraine and @robbeckettcomic host as two couples play for dream prizes and a chance to get married in fro… https://t.co/JOaddKsXdr,Sat Jul 21 15:04:02 +0000 2018,0.0,0.37,0.63,0.8126,5.0
6,BBC,BBC,A huge iceberg is looming over a village in Greenland. https://t.co/sDLtIq41Fj,Sat Jul 21 14:03:06 +0000 2018,0.139,0.213,0.648,0.2023,6.0
7,BBC,BBC,"Would you consider becoming a hedgehog foster parent? 🦔 💕

https://t.co/qTzxBdTy1B",Sat Jul 21 13:03:08 +0000 2018,0.0,0.0,1.0,0.0,7.0
8,BBC,BBC,"Maths, science, history and... death? 🎒📚🤔

Death could be added to the school timetable in Australia. 👉… https://t.co/l6jEPAaK64",Sat Jul 21 12:03:05 +0000 2018,0.328,0.0,0.672,-0.8316,8.0
9,BBC,BBC,"🏃🏃‍♀️ @GabbyLogan presents live coverage from the first day of the #AnniversaryGames at the London Stadium.

Athlet… https://t.co/KD8QAeSMnA",Sat Jul 21 11:16:04 +0000 2018,0.0,0.0,1.0,0.0,9.0
10,BBC,BBC,🏃This 88-year-old runner has celebrated his 200th Parkrun in Manchester. https://t.co/9yG6L3bCye,Sat Jul 21 10:10:07 +0000 2018,0.0,0.27,0.73,0.5719,10.0
11,BBC,BBC,"Amazing innovation 💡
A family in France has become the first to move in to a 3D-printed house. https://t.co/FYDtNW19PL",Sat Jul 21 09:03:03 +0000 2018,0.0,0.286,0.714,0.7506,11.0
12,BBC,BBC,🇱🇰 The Sri Lankan schoolgirl turned inventor trying to save the planet one lunchbox at a time. https://t.co/RZlJolph79,Sat Jul 21 09:02:04 +0000 2018,0.0,0.158,0.842,0.4939,12.0
13,BBC,BBC,RT @bbcweather: In Pictures: The dramatic effect of the UK heatwave https://t.co/xmdTbUlpTy Jo https://t.co/mKIjUw8Yhs,Sat Jul 21 08:32:20 +0000 2018,0.0,0.0,1.0,0.0,13.0
14,BBC,BBC,"""I was training and missed it. I cried.""  ❤️️

@serenawilliams has opened up about missing her baby's first steps.… https://t.co/h7B11Zrvxy",Sat Jul 21 08:03:05 +0000 2018,0.206,0.0,0.794,-0.5267,14.0
15,BBC,BBC,"Should we be allowed to modify human DNA in future children? 🔬

An inquiry has found editing human embryos 'morally… https://t.co/ym7J8WiOLt",Sat Jul 21 07:03:03 +0000 2018,0.0,0.0,1.0,0.0,15.0
16,BBC,BBC,From honeymoon horror to a dine and dash: this is what happens when holiday romances go wrong. 🏝😳💔… https://t.co/o0skuAQ21P,Fri Jul 20 19:02:04 +0000 2018,0.264,0.194,0.543,-0.4215,16.0
17,BBC,BBC,🏥🎶 Every member of this choir is here on doctor's orders. https://t.co/5GLpzwPzwU,Fri Jul 20 18:03:08 +0000 2018,0.0,0.0,1.0,0.0,17.0
18,BBC,BBC,"📺 @louistheroux dives into the BBC Archives and selects his favourite documentaries.

Louis Theroux: Docs That Made… https://t.co/Hun3M35ZEQ",Fri Jul 20 17:02:06 +0000 2018,0.0,0.0,1.0,0.0,18.0
19,BBC,BBC,Actual footage of me leaving work for the weekend and not looking back... 👋 #FridayFeeling https://t.co/Ppg3Qk7fj3,Fri Jul 20 15:59:00 +0000 2018,0.0,0.167,0.833,0.4939,19.0
20,BBC,BBC,"RT @BBCBreaking: Several people wounded in knife attack on bus in northern German city of Luebeck, reports say https://t.co/SS7enQBT3h",Fri Jul 20 14:56:18 +0000 2018,0.147,0.0,0.853,-0.4767,20.0
21,BBC,BBC,"RT @BBCWomansHour: It's not easy, it can be uncomfortable &amp; nerve racking...📣 so why speak out? @charlottechurch tells us what drives her t…",Fri Jul 20 14:53:06 +0000 2018,0.192,0.0,0.808,-0.6131,21.0
22,BBC,BBC,RT @BBCWomansHour: What does @KatiePrice have to say to her critics? She tells us what pushes her to keep going even when she feels under a…,Fri Jul 20 14:52:46 +0000 2018,0.081,0.0,0.919,-0.296,22.0
23,BBC,BBC,"A can of lager and a packet of custard creams are the secret to a long life for Eileen, a Blackpool woman celebrati… https://t.co/y5KL6atB0O",Fri Jul 20 14:31:04 +0000 2018,0.0,0.0,1.0,0.0,23.0
24,BBC,BBC,"RT @BBCNewsround: Did you know there are 25,000 children addicted to gambling in Britain? Find out more about gambling, gaming and why it i…",Fri Jul 20 13:35:41 +0000 2018,0.0,0.0,1.0,0.0,24.0
25,BBC,BBC,"David Attenborough wants you to get out a chair and spot some 🦋🦋🦋 

And you can't say no to such a legend...… https://t.co/PKWvebWrHz",Fri Jul 20 13:33:22 +0000 2018,0.0,0.086,0.914,0.2235,25.0
26,BBC,BBC,"Korean is rapidly growing in popularity, in a language-learning boom driven by the popularity of the country's… https://t.co/t9EfT4am8g",Fri Jul 20 13:03:04 +0000 2018,0.0,0.361,0.639,0.7845,26.0
27,BBC,BBC,RT @BBCArchive: #OnThisDay 1969: Mankind made one giant leap. https://t.co/Szfw85ebOP,Fri Jul 20 13:01:24 +0000 2018,0.0,0.0,1.0,0.0,27.0
28,BBC,BBC,🐻🍞♥️ Who doesn't love a teddy bear?  https://t.co/Pxd4u1WYLa,Fri Jul 20 12:02:04 +0000 2018,0.36,0.0,0.64,-0.5216,28.0
29,BBC,BBC,"From satirical cartoons to original Rembrandts and taxidermy geese, there’s plenty to intrigue art lovers this summ… https://t.co/9YDofEBDLI",Fri Jul 20 11:21:07 +0000 2018,0.0,0.263,0.737,0.6908,29.0
30,BBC,BBC,"RT @BBCEngland: 🦋 If Sir David Attenborough wants us to count butterflies, we'll count butterflies... 🦋

#butterflycount

https://t.co/wlWn…",Fri Jul 20 10:48:43 +0000 2018,0.0,0.0,1.0,0.0,30.0
31,BBC,BBC,😍🐾 The 150th anniversary of the founding of the golden retriever has been celebrated at the breed's ancestral home… https://t.co/MP2ijSzMFg,Fri Jul 20 10:44:50 +0000 2018,0.0,0.163,0.837,0.5719,31.0
32,BBC,BBC,👀 First look at brand new #DoctorWho https://t.co/V9UpeFtwMa,Fri Jul 20 09:11:11 +0000 2018,0.0,0.0,1.0,0.0,32.0
33,BBC,BBC,🔥 Fashion icon? https://t.co/8qdFXbOxmE,Fri Jul 20 08:01:07 +0000 2018,0.444,0.0,0.556,-0.34,33.0
34,BBC,BBC,⚡️🚙 Half of young people in the UK would like to own an electric car – compared with just a quarter of their parent… https://t.co/wccWjtuyky,Fri Jul 20 07:25:07 +0000 2018,0.0,0.102,0.898,0.3612,34.0
35,BBC,BBC,🌳 These curious 'animals' have been popping up in one London neighbourhood. https://t.co/EaVZ5RovIq,Fri Jul 20 07:02:03 +0000 2018,0.0,0.15,0.85,0.3182,35.0
36,BBC,BBC,"When walking alone at night, it's not as simple as ""be safe"". https://t.co/OcJyZ4Q0fQ",Thu Jul 19 19:01:04 +0000 2018,0.143,0.0,0.857,-0.25,36.0
37,BBC,BBC,⚡️💡 These brothers from Ghana are using cassavas to generate electricity. https://t.co/CtNj20Hf14,Thu Jul 19 18:57:05 +0000 2018,0.0,0.0,1.0,0.0,37.0
38,BBC,BBC,"⛳️🏌 Highlights on the first round of the 147th Open Championship from Carnoustie. ️

Golf: #TheOpen - Day One Highl… https://t.co/zdLWmnm28x",Thu Jul 19 18:02:42 +0000 2018,0.0,0.139,0.861,0.4404,38.0
39,BBC,BBC,The catwalk show with a mission to prove everyone is beautiful. https://t.co/sGAR4YzNZT,Thu Jul 19 17:29:06 +0000 2018,0.0,0.281,0.719,0.5994,39.0
40,BBC,BBC,Visit the RHS Flower Show at @tatton_park in Cheshire as it celebrates its 20th birthday with a festival of flowers… https://t.co/oGBZVyKFut,Thu Jul 19 17:02:04 +0000 2018,0.0,0.277,0.723,0.7845,40.0
41,BBC,BBC,🇬🇧 Do you know your Britishisms? https://t.co/mdPdlfb3jE,Thu Jul 19 15:57:06 +0000 2018,0.0,0.286,0.714,0.4215,41.0
42,BBC,BBC,RT @BBC_ARoadshow: Happy 90th Birthday Henry - you certainly had a smashing time with #FionaBruce ...! #antiquesroadshow https://t.co/tgqqX…,Thu Jul 19 15:11:33 +0000 2018,0.0,0.313,0.687,0.75,42.0
43,BBC,BBC,"RT @BBCEarth: This is happening right now! 

@parleyxxx are a group fighting against plastic pollution. A team is currently in Dominican Re…",Thu Jul 19 14:51:09 +0000 2018,0.128,0.0,0.872,-0.4199,43.0
44,BBC,BBC,"Upmarket British fashion label Burberry destroyed unsold clothes, accessories and perfume worth £28.6m last year to… https://t.co/ngZUdI2Iem",Thu Jul 19 14:29:39 +0000 2018,0.159,0.095,0.746,-0.3182,44.0
45,BBC,BBC,This new Juventus kit is made entirely from recycled ocean plastic. ♻️🌊️⚽️ https://t.co/m0uU5O0Xyx https://t.co/K84NwxQvsQ,Thu Jul 19 14:01:05 +0000 2018,0.0,0.0,1.0,0.0,45.0
46,BBC,BBC,RT @cbbc: Never before seen footage of @geesteelx before #LoveIsland proves she's always been loyal babes ��😂�� https://t.co/jk3tUVysNh,Thu Jul 19 13:21:41 +0000 2018,0.0,0.154,0.846,0.4767,46.0
47,BBC,BBC,RT @BBCWales: The @RoyalWelshShow is the biggest agricultural show in Europe. Here's what that looks like in numbers... https://t.co/roaSSM…,Thu Jul 19 13:07:03 +0000 2018,0.0,0.122,0.878,0.3612,47.0
48,BBC,BBC,RT @bbcthree: #OneHotSummer2018 has arrived! Our brand-new series follows different groups of friends on a month-long trip through Spain. h…,Thu Jul 19 13:01:15 +0000 2018,0.0,0.159,0.841,0.5255,48.0
49,BBC,BBC,"RT @BBCNews: Meet the first black winner of Miss Universe GB 👸🏾

https://t.co/sIsxBN8mIB #MUGB https://t.co/aZ86xey66e",Thu Jul 19 12:51:41 +0000 2018,0.075,0.178,0.748,0.4939,49.0
50,BBC,BBC,"When male macaques fall out, they have an interesting way of apologising...
#AnimalsBehavingBadly https://t.co/eNiQRvW2Lr",Thu Jul 19 12:00:29 +0000 2018,0.0,0.172,0.828,0.4019,50.0
51,BBC,BBC,🏝🐀 Scientists studying reefs on tropical islands say that rats directly threaten the survival of these ecosystems.… https://t.co/4ccOkWmKnB,Thu Jul 19 11:01:03 +0000 2018,0.133,0.0,0.867,-0.3818,51.0
52,BBC,BBC,Swimmers in Cornwall are being urged to stay out of the water after a 9ft blue shark was spotted in a harbour. 🦈… https://t.co/cywSw7ygVt,Thu Jul 19 10:31:03 +0000 2018,0.0,0.0,1.0,0.0,52.0
53,BBC,BBC,"RT @bbcpress: 👞🎫🖊 Shoehorns, bus tickets and smelly gel pens... How much does @JoeLycett know about #Obsessions? New series starts tonight…",Thu Jul 19 09:34:09 +0000 2018,0.0,0.0,1.0,0.0,53.0
54,BBC,BBC,"Teenage pregnancy 👶
Drinking 🍺
Smoking 🚬

How 'Generation Sensible' differs from previous generations of teenagers.… https://t.co/eP55PLNl5V",Thu Jul 19 08:52:10 +0000 2018,0.0,0.0,1.0,0.0,54.0
55,BBC,BBC,"🌍🌕 If half the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in j… https://t.co/3DkkUwuXuh",Thu Jul 19 08:01:00 +0000 2018,0.0,0.122,0.878,0.4939,55.0
56,BBC,BBC,"Most people do what authority figures tell them to – even when they disagree. 

🧠 The reason, it turns out, is hidd… https://t.co/qVwGffaIlJ",Thu Jul 19 07:25:02 +0000 2018,0.109,0.054,0.837,-0.3182,56.0
57,BBC,BBC,👶👶 Welcome to the town with hundreds of twins! https://t.co/hLVexzGe6n,Thu Jul 19 07:00:11 +0000 2018,0.0,0.268,0.732,0.5093,57.0
58,BBC,BBC,"🥓✈️ A plane passenger who flew into a rage after being denied a bacon roll by cabin crew has been fined £230.
👉… https://t.co/KT6mKvPMbx",Wed Jul 18 19:56:03 +0000 2018,0.255,0.0,0.745,-0.7579,58.0
59,BBC,BBC,"🙈🙉🙊 @lizbonnin meets the animals using outlandish means to find a mate and raise a family, and reveals the fascinat… https://t.co/NIsJLjlJXi",Wed Jul 18 18:02:07 +0000 2018,0.0,0.0,1.0,0.0,59.0
60,BBC,BBC,A US company owner gave a new employee a car after he went the extra 20 miles and walked all night to make his firs… https://t.co/kHTdIvC7Yz,Wed Jul 18 17:02:01 +0000 2018,0.0,0.0,1.0,0.0,60.0
61,BBC,BBC,This Nigerian entrepreneur is turning old tyres into furniture. https://t.co/MO11yPi5NJ,Wed Jul 18 16:00:26 +0000 2018,0.0,0.0,1.0,0.0,61.0
62,BBC,BBC,"RT @BBCSpringwatch: Robin making the most of a small garden pond, an adorable reminder to leave out water for our wildlife 😍 #WednesdayWisd…",Wed Jul 18 14:37:12 +0000 2018,0.041,0.211,0.748,0.7184,62.0
63,BBC,BBC,"🎩📚 Jane Austen died 201 years ago today but continues to inspire new generations, like period tailor @ZackPinsent. https://t.co/jE8XKA0oPT",Wed Jul 18 14:00:12 +0000 2018,0.086,0.312,0.602,0.7906,63.0
64,BBC,BBC,A plasterer who scooped £1m on the Lottery after claiming his ticket at the last minute has thanked a shopper who l… https://t.co/rhzxi3lQRG,Wed Jul 18 13:03:04 +0000 2018,0.0,0.127,0.873,0.4404,64.0
65,BBC,BBC,💁💡 Chloe has woken up the fashion world with her brilliant idea for a wheelchair friendly jumpsuit. https://t.co/ddYHnVQlSD,Wed Jul 18 12:03:02 +0000 2018,0.0,0.318,0.682,0.7906,65.0
66,BBC,BBC,"The Thai cave rescue story and four other seriously heroic tales.

Turns out people are braver in real life than th… https://t.co/utyRb39MKd",Wed Jul 18 11:00:16 +0000 2018,0.057,0.343,0.6,0.8625,66.0
67,BBC,BBC,"What’s your favourite Nelson Mandela quote?
#Mandela100 #MandelaDay https://t.co/Zlgxy5m9OP",Wed Jul 18 09:19:41 +0000 2018,0.0,0.0,1.0,0.0,67.0
68,BBC,BBC,"🥄 For some people, passing through airport security can be a life-changing moment. https://t.co/4YbqwzP0Nz",Wed Jul 18 08:00:19 +0000 2018,0.0,0.167,0.833,0.34,68.0
69,BBC,BBC,Sex differences in dementia are only just being recognised – but the consequences could change the way we fight the… https://t.co/VLzXCxQqnw,Wed Jul 18 07:26:04 +0000 2018,0.152,0.0,0.848,-0.5267,69.0
70,BBC,BBC,📱👀 The smartphone app helping African pupils see. https://t.co/jAtFKURZgC,Wed Jul 18 07:01:06 +0000 2018,0.0,0.216,0.784,0.296,70.0
71,BBC,BBC,"🎬🎥🍿 @KermodeMovie reveals the film-making tricks and techniques behind classic movie genres, from romcoms to horror… https://t.co/gWdjEv0bU4",Tue Jul 17 19:03:04 +0000 2018,0.086,0.0,0.914,-0.128,71.0
72,BBC,BBC,"Tonight, @GreggAWallace and @cherryhealey visit an enormous coffee factory where they produce 175,000 jars of insta… https://t.co/BL2Wl3nRDv",Tue Jul 17 18:03:06 +0000 2018,0.0,0.0,1.0,0.0,72.0
73,BBC,BBC,It's time to flip the script on dyslexia. https://t.co/fUh6PnoMgK,Tue Jul 17 17:58:03 +0000 2018,0.0,0.0,1.0,0.0,73.0
74,BBC,BBC,"🤢 Each week, the equivalent of 300 Olympic swimming pools full of raw sewage is released into the Thames.

The Five… https://t.co/PIi5TgaMkR",Tue Jul 17 16:01:00 +0000 2018,0.0,0.0,1.0,0.0,74.0
75,BBC,BBC,RT @BBCEngland: The annual census of the Queen's swans is the most English thing you'll see today 👑 https://t.co/gTWR559oqf https://t.co/hp…,Tue Jul 17 14:46:49 +0000 2018,0.0,0.0,1.0,0.0,75.0
76,BBC,BBC,"😂 Choosing the right emoji can be risky. 
#WorldEmojiDay https://t.co/3fM8zM5be0",Tue Jul 17 14:04:00 +0000 2018,0.2,0.205,0.595,0.2732,76.0
77,BBC,BBC,A Bakewell pudding that went missing after being launched towards space has been found in a farm in Lincolnshire. 🚀… https://t.co/EIemUp9mPd,Tue Jul 17 13:03:05 +0000 2018,0.106,0.072,0.821,-0.1779,77.0
78,BBC,BBC,"🐯 Meet the Russian man who rescues tigers for a living.  
#RussiaWithSimonReeve https://t.co/ZRRYsEItvG",Tue Jul 17 11:57:05 +0000 2018,0.0,0.161,0.839,0.3182,78.0
79,BBC,BBC,A passenger on board the tourist boat pelted with lava in Hawaii describes what happened. https://t.co/zhjfAkVR3L,Tue Jul 17 11:00:21 +0000 2018,0.0,0.0,1.0,0.0,79.0
80,BBC,BBC,RT @BBCClick: This cute bot allows you to hack your toys to do something useful. Build your dream AI robot out of cardboard...or even a pot…,Tue Jul 17 10:39:27 +0000 2018,0.0,0.276,0.724,0.8126,80.0
81,BBC,BBC,"RT @BBCRadio2: ""When the rain washes you clean, you'll know.""

@yearsandyears performed a cover of one of their favourite @FleetwoodMac cla…",Tue Jul 17 10:38:04 +0000 2018,0.0,0.124,0.876,0.4019,81.0
82,BBC,BBC,"Was the 😊 the first emoticon?
#WorldEmojiDay https://t.co/3eZwRPDqbJ",Tue Jul 17 09:26:12 +0000 2018,0.0,0.375,0.625,0.7184,82.0
83,BBC,BBC,"The 84-year-old pole vaulting grandma.

(via @BBCThree) https://t.co/7nKHNpre0m",Tue Jul 17 08:00:16 +0000 2018,0.0,0.0,1.0,0.0,83.0
84,BBC,BBC,"😟🧠 Why your brain never runs out of problems to find.
👉 https://t.co/LVM2mJwOoE https://t.co/NHLH3J0OSM",Tue Jul 17 07:27:02 +0000 2018,0.144,0.0,0.856,-0.4019,84.0
85,BBC,BBC,A huge iceberg is looming over a village in Greenland. https://t.co/sDLtIq41Fj,Tue Jul 17 07:00:08 +0000 2018,0.139,0.213,0.648,0.2023,85.0
86,BBC,BBC,🍴 @BegumNadiya creates her family's favourite dishes and meets some of Britain's most inspiring home cooks along th… https://t.co/t3dT5alzPa,Mon Jul 16 18:01:05 +0000 2018,0.0,0.215,0.785,0.6361,86.0
87,BBC,BBC,"Aged 23 and suffering from depression and shyness, Sarah Moore moved to the remote Scottish island of North Ronalds… https://t.co/uAyapwvuCJ",Mon Jul 16 17:32:02 +0000 2018,0.349,0.0,0.651,-0.8442,87.0
88,BBC,BBC,"RT @BBCR1: 2018 has seen some amazing music collabs so far... but who else would you love to see team up?

Still waiting on a @ShawnMendes…",Mon Jul 16 16:32:34 +0000 2018,0.0,0.263,0.737,0.8481,88.0
89,BBC,BBC,From getting bored of their own music to eating too much potato: here are 10 of the weirdest excuses artists have g… https://t.co/S4Mhkticy0,Mon Jul 16 16:32:02 +0000 2018,0.16,0.0,0.84,-0.4588,89.0
90,BBC,BBC,"RT @bbcwritersroom: Only 2 more weeks to enter the Felix Dexter Bursary @bbccomedy 
Jonny Wright, one of last year's bursary winners explai…",Mon Jul 16 16:31:14 +0000 2018,0.0,0.134,0.866,0.4767,90.0
91,BBC,BBC,"💭 🍔🍖🍚
The #ThaiCaveRescue boys made a video - and there's one thing on their minds. https://t.co/dLEJ8eoARJ",Mon Jul 16 15:30:09 +0000 2018,0.0,0.0,1.0,0.0,91.0
92,BBC,BBC,"RT @BBCRadio4: Monkey Cage is 💯!
You can WATCH the special 100th EXTENDED episode on @BBCiPlayer NOW! 
Guests include @EricIdle, Brian Bles…",Mon Jul 16 15:12:09 +0000 2018,0.0,0.135,0.865,0.508,92.0
93,BBC,BBC,"Make the most of summer's ripe, sweet berries with @BBCFood's favourite cherry recipes. https://t.co/2TIzXk62B8 🍒… https://t.co/SVEsH1RqFC",Mon Jul 16 14:46:04 +0000 2018,0.0,0.167,0.833,0.4588,93.0
94,BBC,BBC,RT @bbcpress: Si King returns to the hospital that saved his life to meet patients and staff in tomorrow's #MatronMedicineAndMe: https://t.…,Mon Jul 16 14:10:57 +0000 2018,0.0,0.123,0.877,0.4215,94.0
95,BBC,BBC,RT @bbcpress: They think it's all over... it is now! 44.5m tune in to watch record-breaking #WorldCup on the BBC: https://t.co/spMluYGv9P h…,Mon Jul 16 13:50:24 +0000 2018,0.0,0.0,1.0,0.0,95.0
96,BBC,BBC,"New Doctor Who, New friends, New Adventures. 
#DoctorWho https://t.co/ULexNI46nx",Mon Jul 16 13:05:01 +0000 2018,0.0,0.44,0.56,0.6705,96.0
97,BBC,BBC,RT @BBCAfrica: The story of Ghanaian warrior queen Yaa Asantewaa and the fight for the Golden Stool - the first in our 8-part series about…,Mon Jul 16 13:02:18 +0000 2018,0.102,0.0,0.898,-0.3818,97.0
98,BBC,BBC,Two school children have won the chance to attend a dinner with Michelle Obama in Edinburgh. 👉… https://t.co/htGTOlF2Y0,Mon Jul 16 12:04:04 +0000 2018,0.0,0.275,0.725,0.6908,98.0
99,BBC,BBC,RT @BBCTwo: Haven't seen Picnic at Hanging Rock yet? Here's everything you need to know... 🤔 https://t.co/e7Dreydhp7,Mon Jul 16 11:18:21 +0000 2018,0.0,0.0,1.0,0.0,99.0
100,BBC,BBC,"RT @BBCOne: Lee Mack discovers comedy is in the blood when he finds out his great-grandad was a comedian on the front-line during WWI. 

Wh…",Mon Jul 16 11:13:38 +0000 2018,0.0,0.188,0.812,0.6249,100.0
101,CBS,CBS,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,Sat Jul 21 00:55:28 +0000 2018,0.109,0.0,0.891,-0.296,1.0
